ms_played,master_metadata_album_artist_name
1258,Billie Eilish
682,Marshmello
2410,Marshmello
133290,benny blanco
189367,Samy Lrzo
147580,Oxlade
159425,Bayanni
66624,Harley
210000,Asake
223517,melvitto
185454,SPINALL
216000,Ruger
195234,Midas the Jagaban
0,P-Square
147580,Oxlade
179775,Rema
97569,Libianca
15590,1da Banton
1020,Libianca
162285,1da Banton
61953,Fireboy DML
1460,Victony
670,Fave
820,Mavins
0,Gyakie
202550,Mavins
156550,Gyakie
239317,Rema
172342,Burna Boy
19205,Magixx
184633,Libianca
132500,Saint Levant
98556,Fireboy DML
2200,Aya Nakamura
2090,Aya Nakamura
85250,Aya Nakamura
150040,Aya Nakamura
84610,Franglish
67910,Aya Nakamura
127262,Aya Nakamura
167770,Aya Nakamura
197386,Aya Nakamura
23112,Aya Nakamura
140390,Aya Nakamura
25340,Aya Nakamura
261974,Arijit Singh
2955,Arijit Singh
2020,Aya Nakamura
162373,Aya Nakamura
171133,Aya Nakamura
49413,Franglish
205090,Bad Bunny
173799,Bad Bunny
198773,Don Omar
73726,Kali Uchis
73910,Aya Nakamura
197386,Aya Nakamura
10223,Aya Nakamura
7780,Zedd
2400,Jon Bellion
1580,ILLENIUM
1770,ILLENIUM
2150,Jonas Brothers
870,Jon Bellion
208124,Jon Bellion
147684,Jon Bellion
206210,Jon Bellion
83580,Jon Bellion
409074,Ashley Park
20775,Mega
150390,Childish Gambino
6040,Childish Gambino
183733,UB40
2556,UB40
183733,UB40
3676,UB40
865423,UB40
1856,UB40
360490,UB40
4350,The Cranberries
57330,Bad Bunny
149060,UB40
11010,Tvbuu
129560,Tvbuu
216380,Childish Gambino
2050,NF
3110,XXXTENTACION
154980,benny blanco
140533,24kGoldn
200185,Billie Eilish
128450,NF
174172,Twenty One Pilots
3517,Trevor Daniel
8280,XXXTENTACION
1060,Halsey
98080,Alec Benjamin
1790,NF
103800,Masked Wolf
8580,Tate McRae
3930,XXXTENTACION
850,Lewis Capaldi
840,Khalid
115740,NF
39260,Machine Gun Kelly
58152,Logic
1440,Jessie Murph
169000,Jon Bellion
1080,Wiz Khalifa
1320,NF
3200,Alec Benjamin
3620,XXXTENTACION
17130,Papithbk
2430,Alex & Sierra
3320,NF
8860,Diplo
23650,5 Seconds of Summer
7190,5 Seconds of Summer
183733,UB40
7326,Bob Marley & The Wailers
183733,UB40
11306,Bob Marley & The Wailers
11940,UB40
263546,Lucky Dube
322533,Lucky Dube
205426,Lucky Dube
82753,Lucky Dube
1340,Lucky Dube
263546,Lucky Dube
188573,Lucky Dube
291870,Musketeers
204750,Rema
11700,Bayanni
158680,Shakira
120440,Farruko
1020,Bad Bunny
198773,Don Omar
59806,Bakermat
1200,Elton John
20800,Rvfv
1500,Bizarrap
480,Bad Bunny
1320,Farruko
60740,Lost Frequencies
37840,Don Omar
45860,Prince Royce
158660,Ozuna
1190,Bad Bunny
2970,Farruko
1330,ROSALÍA
930,James Hype
3850,Manuel Turizo
11710,DJ Fronteo
172020,Bad Bunny
5350,Shouse
3400,Farruko
1040,Charly Black
46680,Farruko
1880,Charly Black
4320,Becky G
71970,Camila Cabello
3760,Bad Bunny
4740,Marshmello
3390,Rvssian
1500,Farruko
520,Imanbek
3800,Tiësto
3550,Don Omar
3630,Marshmello
1120,Bad Bunny
790,Danny Ocean
730,Farruko
670,Bizarrap
2790,Don Omar
2540,Sofía Reyes
3510,ACRAZE
170070,Daddy Yankee
1430,Fuego
1820,Farruko
920,Boza
5173,DJ Snake
240,Becky G
137380,DJ Snake
3650,Joyner Lucas
3370,Tate McRae
2210,Alex & Sierra
1560,Joyner Lucas
1120,Camylio
1150,Lewis Capaldi
1190,B.o.B
30,NF
190,Logic
2090,Juice WRLD
2040,NF
860,NF
250,Anonymuz
290,NF
800,gnash
880,Masked Wolf
1200,24kGoldn
120,NF
190,X Ambassadors
0,Joyner Lucas
0,The Seige
450,NF
0,NF
1680,Diplo
990,Twenty One Pilots
0,Wiz Khalifa
14690,Twenty One Pilots
720,Wiz Khalifa
690,gavn!
690,XXXTENTACION
500,Alec Benjamin
1580,Russ
2100,benny blanco
900,Trevor Daniel
0,XXXTENTACION
1030,NF
760,NF
202546,Khalid
9323,Juice WRLD
1760,Loote
1080,Presence
960,XXXTENTACION
650,Halsey
22010,Logic
135746,Pop Smoke
77383,Central Cee
127546,Pop Smoke
204242,Travis Scott
1260,Armani White
1420,Future
40762,A1 x J1
1520,Pop Smoke
5410,Lil Uzi Vert
68220,CJ
150663,Central Cee
37626,NLE Choppa
229133,Dave
137627,RAYE
218093,Shakira
4276,Don Omar
283710,Farruko
1240,Bad Bunny
116390,Don Omar
1000,Elton John
150220,Bakermat
560,Rvfv
1640,Bizarrap
1170,Bizarrap
118020,Rvfv
810,Bad Bunny
1430,Farruko
143880,Ozuna
740,Ozuna
1910,Prince Royce
1190,Manuel Turizo
43620,Prince Royce
18520,Manuel Turizo
750,ROSALÍA
870,Bad Bunny
3560,Farruko
1060,James Hype
1740,DJ Fronteo
1370,Lost Frequencies
1010,Charly Black
64570,Lost Frequencies
2420,Charly Black
178567,Bad Bunny
35042,Don Omar
6170,Farruko
4100,Imanbek
10220,Shouse
4330,Becky G
87450,Bad Bunny
4240,Marshmello
1410,Farruko
580,Tiësto
1370,Camila Cabello
63940,Camila Cabello
1530,Tiësto
1500,Danny Ocean
1030,Rvssian
1050,Marshmello
990,Bad Bunny
192600,Daddy Yankee
7450,Farruko
12170,Sofía Reyes
1180,Don Omar
202890,DJ Snake
720,Ryan Castro
37050,Fuego
1170,Tiësto
820,Farruko
1830,Daddy Yankee
920,Bizarrap
960,Don Omar
30,David Guetta
1370,ACRAZE
199010,KAROL G
880,Becky G
1400,Farruko
2060,Ozuna
68310,Farruko
1840,Prince Royce
164842,Camila Cabello
25027,Rauw Alejandro
28990,Riton
1933,Farruko
1260,Boza
1640,KAROL G
2110,Tiësto
3540,Rauw Alejandro
710,Bad Bunny
1290,J Balvin
1030,Majestic
2740,Farruko
940,DJ Snake
2220,Camila Cabello
40530,ROSALÍA
29640,Shakira
1570,Alejo
830,Joel Corry
14530,Cris Mj
263910,Musketeers
1210,USUX
10240,Soulbliss
229133,Dave
5396,RAYE
172730,Rema
192,UB40
326933,Childish Gambino
116630,Thundercat
175297,Childish Gambino
2602,UB40
208694,Ashley Park
216755,Mega
166642,CKay
166699,Rotimi
202735,Elton John
169844,Fave
187000,Ayra Starr
139908,Rihanna
135476,eMMANUEL
191912,Arijit Singh
88020,UB40
246620,Farruko
1600,Bad Bunny
390,Don Omar
1010,Bad Bunny
136230,Don Omar
178540,Bakermat
1590,Farruko
168960,Rvfv
20870,Bizarrap
258298,Bad Bunny
118551,Ozuna
206053,Roberto
30426,Kranium
1170,Roberto
2600,Serani
800,Gyptian
100300,Patoranking
950,Tory Lanez
350,Roberto
29680,Tory Lanez
1090,Roberto
3630,Spice
2770,P-Square
1190,L'Algérino
1030,Million Stylez
3500,Kranium
1260,Toofan
2400,Roberto
1460,Collie Buddz
860,Gyptian
1100,KeBlack
59470,Payper Corleone
910,Alkaline
11760,Duncan Mighty
1330,Roberto
1120,Wande Coal
950,Alex Aiono
8900,J. Martins
153240,Shakira
5500,Shakira
135746,Pop Smoke
97392,Central Cee
127546,Pop Smoke
162802,Travis Scott
15741,Tyga
3110,Armani White
229133,Dave
27376,Pop Smoke
1370,Farruko
610,Bad Bunny
590,Don Omar
74540,Bakermat
189440,Koffee
320,Burna Boy
746,Wizkid
36245,Koffi Olomide
2943,Diamond Platnumz
3200,Diljit Dosanjh
147093,Flavour
1066,Diamond Platnumz
121140,Patoranking
169911,Davido
184633,Libianca
211875,Spyro
152608,Rayvanny
299416,Diamond Platnumz
45873,Diljit Dosanjh
514144,Arijit Singh
8375,Shreya Ghoshal
228410,Arijit Singh
377150,TRESOR
20840,Cruel Santino
3110,TRESOR
1580,Jordan Rakei
4630,Fireboy DML
1310,Farruko
770,Bad Bunny
770,Don Omar
81670,Bakermat
450,Don Omar
550,Bad Bunny
269600,Farruko
890,Bad Bunny
151730,Don Omar
79130,Bakermat
930,Elton John
97560,Rvfv
1000,Bizarrap
113540,Bad Bunny
163570,Farruko
1430,Prince Royce
470,ROSALÍA
5760,Prince Royce
1330,ROSALÍA
83910,Lost Frequencies
1640,Manuel Turizo
690,Bad Bunny
148630,Ozuna
74890,DJ Fronteo
4030,Farruko
1350,Don Omar
590,James Hype
192020,Don Omar
890,James Hype
87610,Bad Bunny
880,Marshmello
970,Farruko
2690,Charly Black
2950,Shouse
960,Danny Ocean
710,Bad Bunny
940,Rvssian
370,Camila Cabello
0,Farruko
183730,Camila Cabello
1480,Farruko
1730,Lucenzo
1050,Imanbek
990,Becky G
1170,Bad Bunny
192600,Daddy Yankee
34120,Fuego
1290,Farruko
1080,Don Omar
890,Marshmello
1260,HUGEL
1400,Tiësto
245119,DJ Snake
27190,David Guetta
960,Farruko
1000,Bizarrap
100,ACRAZE
66880,Sofía Reyes
4000,eMMANUEL
154289,AfroNova
3720,Wizkid
293970,AfroNova
86910,Patoranking
4020,Serge Ibaka
7040,K.O
218426,Bracket
70903,Ruger
218426,Bracket
100803,Ruger
3300,Rayvanny
17360,Brenda Fassie
18130,Ruger
169740,Shakira
1000,Don Omar
151750,Shakira
1040,Luis Fonsi
138810,Daddy Yankee
1660,Rihanna
1040,Bizarrap
740,Shakira
880,OMI
360,TLC
0,Beyoncé
0,Rihanna
0,Shakira
91150,Rihanna
3220,Nicki Minaj
187541,Cardi B
3618,Kaliii
350,Ice Spice
1540,PinkPantheress
104819,Ice Spice
71360,RAYE
17770,PinkPantheress
2390,Diamond Platnumz
208820,Musketeers
5620,USUX
101600,Farruko
238530,Lucky Dube
219117,AfroNova
4160,Wizkid
162689,AfroNova
74750,Wizkid
154289,AfroNova
112630,Wizkid
1030,Bnxn
900,Ayra Starr
0,1da Banton
147040,Ayra Starr
108100,1da Banton
1010,Burna Boy
190677,Fave
103412,Jinmi Abduls
15110,Kofi Dartey
1390,Ayra Starr
880,June Freedom
610,T.Y.E
136560,Rotimi
860,Gyakie
1290,Oba Reengy
1230,Nizzy
1050,Bnxn
850,Bad Boy Timz
680,Wizkid
90,Ayra Starr
174117,Adekunle Gold
13822,Olamide
154289,AfroNova
187906,Wizkid
136800,Bnxn
187000,Ayra Starr
162285,1da Banton
216991,Burna Boy
190677,Fave
119268,Jinmi Abduls
159580,Farruko
790,Bad Bunny
730,Don Omar
670,Elton John
137580,Bakermat
920,Rvfv
267390,Farruko
182360,Bad Bunny
1000,Jay Wheeler
1400,Prince Royce
320,Bizarrap
460,Lost Frequencies
470,Manuel Turizo
125630,Lost Frequencies
6670,Koffee
135746,Pop Smoke
97392,Central Cee
127546,Pop Smoke
40910,Armani White
19070,Key Glock
10870,NLE Choppa
72090,Dave
27390,Pop Smoke
150663,Central Cee
89356,Lil Uzi Vert
45190,ArrDee
16950,CJ
132380,Pop Smoke
25930,Future
18450,Money Man
2710,Lil Baby
63390,23
5880,Pop Smoke
6520,Central Cee
4760,Lil Tecca
23810,Drake
10240,SR
17200,Pop Smoke
103010,Muppet DJ
13843,Quavo
1090,DJ Khaled
1580,Central Cee
810,Pop Smoke
680,Tyga
20150,D-Block Europe
167990,Cardi B
106700,Shakira
3280,Don Omar
3380,Daddy Yankee
8540,Shakira
2230,Dave
910,RAYE
190,Rema
570,PinkPantheress
0,Omah Lay
490,Central Cee
147580,Oxlade
219500,Victony
185454,SPINALL
169911,Davido
3814,Kaliii
860,Central Cee
2350,Outcast Music
1340,ArrDee
530,Pheelz
580,Libianca
79980,Pheelz
190185,Lorde
14564,Lorde
1550,B.o.B
4430,Carly Rae Jepsen
1310,Alicia Keys
158890,Vance Joy
1290,Beyoncé
1160,Gotye
1170,Miley Cyrus
46230,Naughty Boy
28590,Tvbuu
135746,Pop Smoke
64233,Central Cee
65860,Pop Smoke
114390,Travis Scott
15280,Armani White
211590,Dave
7240,CJ
1350,Pop Smoke
1340,Key Glock
143710,Central Cee
122500,Lil Uzi Vert
2240,ArrDee
127546,Pop Smoke
1100,Lil Baby
9414,Future
1210,Money Man
1300,DJ Khaled
1410,Pop Smoke
20590,Central Cee
1650,Lil Tecca
158280,Drake
1060,Pop Smoke
58330,Muppet DJ
1330,Tyga
1070,Quavo
1380,JACKBOYS
1470,Central Cee
850,Pop Smoke
1240,D-Block Europe
530,Metro Boomin
1900,Headie One
990,Rah Swish
24130,Pop Smoke
1040,Central Cee
204750,Rema
84065,Midas the Jagaban
86502,Mampi
140110,Kizz Daniel
144400,K.O
17166,DJ Maphorisa
582577,DJ Maphorisa
1630,Pcee
1140,Myztro
1160,Rema
1300,Metro Boomin
223620,Aymos
84340,Ch'cco
120470,Pabi Cooper
1090,Deep London
108840,Myztro
225230,MacG
195260,Soa Mattrix
121390,Konke
18400,Konke
6410,Mas Musiq
2360,Mas Musiq
6060,Shaunmusiq
89260,Sam Deep
11070,Luxury SA
4610,Dlala Regal
1250,Jay Music
11250,Pushkin RSA
980,TOSS
960,DJ Maphorisa
3420,Big Nuz
133240,2Point1
2660,Deep London
1010,Konke
890,DJ Maphorisa
108590,Konke
2980,DJ Maphorisa
1540,Kabza De Small
990,Kelvin Momo
1220,Dj Karri
2060,Aymos
990,Mellow & Sleazy
410,Lowsheen
470,The Cool Guys
970,The Cool Guys
380,Kabza De Small
0,Lwah Ndlunkulu
0,ESK MUSIQ
510,Felo Le Tee
0,Njelic
87130,Felo Le Tee
27733,AfroNova
362846,Billie Eilish
204812,Billie Eilish
185370,Billie Eilish
89330,Bruno Mars
15630,Q-Mark
161935,Wanitwa Mos
342780,9umba
277770,Kabza De Small
3410,Daliwonga
720,Uncle Waffles
179620,Daliwonga
13910,Uncle Waffles
2980,Kabza De Small
3930,Mas Musiq
89900,Busta 929
1400,Wanitwa Mos
2380,Musa Keys
1710,Young Stunna
710,Felo Le Tee
1280,Major League Djz
1080,Venom
890,Kabza De Small
810,DBN Gogo
1020,Kabza De Small
1080,Ch'cco
1530,Mr JazziQ
750,Gaba Cannal
144545,Felo Le Tee
810,Reece Madlisa
1550,Konke
3330,DBN Gogo
960,Frenzyoffixial
760,Sam Deep
990,Dj Karri
30180,Pabi Cooper
166150,Mellow & Sleazy
3070,De Mthuda
2070,Kelvin Momo
2700,Drizzy Sam Rsa
850,Aymos
760,De Mthuda
720,Mr JazziQ
1040,Costa Titch
950,Villosoul
25240,DJ Maphorisa
2880,Ya Levis
166870,H_art the Band
1180,Davido
1130,Adekunle Gold
1190,Bisa Kdei
2280,Kassav'
20170,Demarco
168562,Lojay
2920,Azawi
93620,Korede Bello
147580,Oxlade
19660,Jux
2856,Guchi
998,Fireboy DML
168857,Adekunle Gold
187906,Wizkid
111185,Burna Boy
225933,Korede Bello
11676,Iyanya
14750,Bruno Mars
184633,Libianca
184633,Libianca
603,Libianca
196794,Giveon
99575,Giveon
196077,Billie Eilish
196077,Billie Eilish
196077,Billie Eilish
196077,Billie Eilish
196077,Billie Eilish
15990,Billie Eilish
194650,Billie Eilish
229110,Lukas Graham
1640,Tom Odell
2660,Adele
1840,David Kushner
221520,Metro Boomin
0,Labrinth
940,Billie Eilish
1620,Labrinth
4500,Billie Eilish
3220,Rosa Linn
1460,Lizzy McAlpine
1340,Olivia Rodrigo
182887,Lizzy McAlpine
95222,Olivia Rodrigo
229320,Khalid
25640,Khalid
201707,Khalid
6972,Khalid
210666,Khalid
210666,Khalid
175528,Khalid
174128,Khalid
146200,benny blanco
197866,Ed Sheeran
6613,Ed Sheeran
228600,Khalid
26470,Khalid
5620,Stephen Sanchez
152370,Selena Gomez
218450,Justin Bieber
123060,Sam Smith
200040,The Weeknd
19620,Harry Styles
1420,All Saints
1690,Central Cee
990,Nelly Furtado
1020,CKay
222091,Bruno Mars
39168,Counting Crows
1650,The Weeknd
920,Rema
910,Kevin Lyttle
1440,Ava Max
1030,Dua Lipa
1020,Shawn Mendes
1100,Backstreet Boys
199440,Shawn Mendes
81450,Backstreet Boys
227860,Westlife
2440,Westlife
3290,Westlife
5080,Westlife
234866,Westlife
23753,Westlife
73410,Westlife
2420,Westlife
2240,Westlife
203083,Westlife
46026,Westlife
1410,Westlife
5880,Westlife
3710,Westlife
4630,Westlife
3280,Westlife
1720,Westlife
2290,Westlife
1560,Westlife
1440,Westlife
3590,Westlife
2810,Westlife
1140,Westlife
1670,Westlife
1210,Westlife
960,Westlife
1100,Westlife
1180,Westlife
1280,Westlife
2920,Westlife
2920,Westlife
3470,Westlife
2850,Westlife
2400,Westlife
2310,Westlife
1450,Westlife
1910,Westlife
1160,Westlife
4120,Westlife
2500,Westlife
1090,Westlife
1340,Westlife
2550,Westlife
1260,Westlife
4650,Westlife
1120,Westlife
1520,Westlife
3420,Westlife
5240,Westlife
3390,Westlife
1960,Westlife
3440,Westlife
2810,Westlife
15010,Westlife
5100,Backstreet Boys
2760,Backstreet Boys
206493,Backstreet Boys
27836,Backstreet Boys
3100,Backstreet Boys
57391,Backstreet Boys
11598,Hillsong UNITED
10100,Jesus Culture
315253,Jesus Culture
19206,Jesus Culture
477880,Jesus Culture
2360,PinkPantheress
8920,Ice Spice
12700,Koffi Olomide
4590,Koffi Olomide
16910,Koffi Olomide
187541,Cardi B
21558,Cardi B
121250,Cardi B
129420,Kaliii
2440,Cookiee Kawaii
78945,Jesus Culture
162802,Travis Scott
91027,Doja Cat
189300,Cardi B
173325,Lizzo
132264,Rihanna
4140,Ciara
1510,Ice Spice
1930,Cardi B
78180,CJ
160000,Pop Smoke
190030,Rihanna
109750,Nicki Minaj
156944,Cardi B
138964,Megan Thee Stallion
68351,Beyoncé
85108,DJ Snake
189910,Rihanna
1510,Cardi B
4910,Kay Flock
2370,Saweetie
155497,Megan Thee Stallion
67782,Doja Cat
6080,ROSALÍA
1660,Doja Cat
370,ROSALÍA
1990,KAROL G
930,Cardi B
500,Muppet DJ
10170,Cardi B
15320,Nicki Minaj
246240,Nicki Minaj
258570,Nicki Minaj
5070,SZA
190170,Major Lazer
2170,Billie Eilish
1040,KAROL G
1040,Tate McRae
24450,Nicki Minaj
162285,Davido
11834,Brandi Carlile
9010,Yung Bleu
7190,Lady Gaga
2540,Sam Smith
8310,Tasha Cobbs Leonard
35560,Nicki Minaj
26430,Tems
12760,Adele
21410,Nao
109560,Ice Spice
1120,Keri Hilson
1630,Sam Smith
96020,Nicki Minaj
1380,Lady Gaga
1150,SZA
1000,Mavado
